Barangay,University,Distance (km),Time (mins),Rides
Inoman,Saint Louis University - Baguio,64.67,89.3,3 rides
Inoman,Benguet State University - La Trinidad,68.97,97.5,3 rides
Inoman,Philippine Military Academy,69.64,97.8,3 rides
Inoman,Polytechnic University of the Philippines - Manila,203.73,169.6,4 rides
Inoman,University of the Philippines - Diliman,203.21,169.7,4 rides
Inoman,University of the Philippines - Manila,204.84,173.3,4 rides
Inoman,Maritime Academy of Asia and the Pacific,217.5,183.4,3 rides
Laoac,University of Eastern Pangasinan,14.1,17.6,2 rides
Laoac,Pangasinan State University - Urdaneta City,21.13,21.1,2 rides
Laoac,Urdaneta City University,23.49,23.7,3 rides
Laoac,Pangasinan State University - Asingan,29.48,31.0,3 rides
Laoac,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,27.05,33.3,2 rides
Laoac,DMMMSU – South La Union Campus  (SLUC) - Agoo,33.27,41.9,2 rides
Laoac,University of Pangasinan - PHINMA,25.86,42.9,3 rides
Laoac,Pangasinan Merchant Marine Academy,26.46,44.3,3 rides
Laoac,Lyceum-Northwestern University,27.79,47.1,3 rides
Laoac,University of the Philippines - Baguio,43.19,55.1,3 rides
Laoac,Pangasinan State University - Bayambang,52.55,63.5,3 rides
Laoac,Pangasinan State University - Lingayen,42.81,69.1,4 rides
Laoac,Pangasinan Polytechnic College,43.07,69.3,4 rides
Laoac,Tarlac State University - Tarlac,81.88,70.7,2 rides
Laoac,UP Manila School of Health Sciences - Tarlac,83.14,72.4,-
Laoac,University of Cordilleras,62.26,83.2,3 rides
Laoac,DMMMSU – Mid La Union Campus (MLUC),65.05,86.1,2 rides
Laoac,Central Luzon State University,92.19,86.5,3 rides
Laoac,University of Baguio,63.25,86.8,3 rides
Laoac,Saint Louis University - Baguio,63.92,88.4,3 rides
Laoac,Benguet State University - La Trinidad,68.22,96.7,3 rides
Laoac,Philippine Military Academy,68.9,97.0,3 rides
Laoac,Polytechnic University of the Philippines - Manila,202.99,168.7,4 rides
Laoac,University of the Philippines - Diliman,202.47,168.8,4 rides
Laoac,University of the Philippines - Manila,204.09,172.5,4 rides
Laoac,Maritime Academy of Asia and the Pacific,216.75,182.5,3 rides
Maambal,University of Eastern Pangasinan,15.24,21.0,3 rides
Maambal,Pangasinan State University - Urdaneta City,21.26,25.0,3 rides
Maambal,Urdaneta City University,23.62,27.6,4 rides
Maambal,University of Pangasinan - PHINMA,17.57,28.5,4 rides
Maambal,Pangasinan Merchant Marine Academy,18.17,29.9,4 rides
Maambal,Lyceum-Northwestern University,19.49,32.7,4 rides
Maambal,Pangasinan State University - Asingan,29.61,34.8,4 rides
Maambal,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,35.22,44.9,3 rides
Maambal,DMMMSU – South La Union Campus  (SLUC) - Agoo,41.44,53.5,3 rides
Maambal,Pangasinan State University - Lingayen,34.52,54.7,5 rides
Maambal,Pangasinan Polytechnic College,34.78,54.9,5 rides
Maambal,Pangasinan State University - Bayambang,41.65,56.8,4 rides
Maambal,University of the Philippines - Baguio,51.36,66.7,4 rides
Maambal,Tarlac State University - Tarlac,81.82,75.7,3 rides
Maambal,UP Manila School of Health Sciences - Tarlac,83.07,77.4,-
Maambal,Central Luzon State University,92.13,91.5,4 rides
Maambal,University of Cordilleras,69.96,95.6,4 rides
Maambal,DMMMSU – Mid La Union Campus (MLUC),73.22,97.7,3 rides
Maambal,University of Baguio,70.94,99.1,4 rides
Maambal,Saint Louis University - Baguio,71.61,100.7,4 rides
Maambal,Benguet State University - La Trinidad,75.91,109.0,4 rides
Maambal,Philippine Military Academy,76.59,109.3,4 rides
Maambal,Polytechnic University of the Philippines - Manila,202.92,173.8,5 rides
Maambal,University of the Philippines - Diliman,202.4,173.9,5 rides
Maambal,University of the Philippines - Manila,204.03,177.5,5 rides
Maambal,Maritime Academy of Asia and the Pacific,216.69,187.5,4 rides
Malasin,University of Eastern Pangasinan,12.38,16.6,2 rides
Malasin,Pangasinan State University - Urdaneta City,19.42,21.2,2 rides
Malasin,Urdaneta City University,21.78,23.8,3 rides
Malasin,Pangasinan State University - Asingan,27.77,31.1,3 rides
Malasin,University of Pangasinan - PHINMA,21.36,35.5,2 rides
Malasin,Pangasinan Merchant Marine Academy,21.96,36.9,2 rides
Malasin,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,32.35,39.6,2 rides
Malasin,Lyceum-Northwestern University,23.29,39.7,2 rides
Malasin,DMMMSU – South La Union Campus  (SLUC) - Agoo,38.57,48.2,2 rides
Malasin,University of the Philippines - Baguio,48.5,61.4,3 rides
Malasin,Pangasinan State University - Lingayen,38.31,61.7,3 rides
Malasin,Pangasinan Polytechnic College,38.57,61.9,3 rides
Malasin,Pangasinan State University - Bayambang,50.84,63.6,3 rides
Malasin,Tarlac State University - Tarlac,79.97,72.0,2 rides
Malasin,UP Manila School of Health Sciences - Tarlac,81.23,73.7,-
Malasin,Central Luzon State University,90.29,87.8,3 rides
Malasin,University of Cordilleras,66.15,88.4,3 rides
Malasin,University of Baguio,67.14,92.0,3 rides
Malasin,DMMMSU – Mid La Union Campus (MLUC),70.36,92.4,2 rides
Malasin,Saint Louis University - Baguio,67.81,93.6,3 rides
Malasin,Benguet State University - La Trinidad,72.1,101.8,3 rides
Malasin,Philippine Military Academy,72.78,102.1,3 rides
Malasin,Polytechnic University of the Philippines - Manila,201.08,170.0,4 rides
Malasin,University of the Philippines - Diliman,200.56,170.1,4 rides
Malasin,University of the Philippines - Manila,202.19,173.7,4 rides
Malasin,Maritime Academy of Asia and the Pacific,214.85,183.8,3 rides
Malokiat,University of Eastern Pangasinan,15.71,19.6,3 rides
Malokiat,Pangasinan State University - Urdaneta City,23.62,24.1,3 rides
Malokiat,Urdaneta City University,25.98,26.7,4 rides
Malokiat,Pangasinan State University - Asingan,31.97,34.0,4 rides
Malokiat,University of Pangasinan - PHINMA,22.91,36.5,4 rides
Malokiat,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,30.96,37.4,3 rides
Malokiat,Pangasinan Merchant Marine Academy,23.51,37.9,4 rides
Malokiat,Lyceum-Northwestern University,24.83,40.7,4 rides
Malokiat,DMMMSU – South La Union Campus  (SLUC) - Agoo,37.18,46.0,3 rides
Malokiat,University of the Philippines - Baguio,47.11,59.3,4 rides
Malokiat,Pangasinan State University - Lingayen,39.86,62.7,5 rides
Malokiat,Pangasinan Polytechnic College,40.12,62.9,5 rides
Malokiat,Pangasinan State University - Bayambang,46.99,64.8,4 rides
Malokiat,Tarlac State University - Tarlac,84.37,73.7,3 rides
Malokiat,UP Manila School of Health Sciences - Tarlac,85.63,75.4,-
Malokiat,University of Cordilleras,64.75,86.2,4 rides
Malokiat,Central Luzon State University,94.68,89.5,4 rides
Malokiat,University of Baguio,65.74,89.8,4 rides
Malokiat,DMMMSU – Mid La Union Campus (MLUC),68.96,90.2,3 rides
Malokiat,Saint Louis University - Baguio,66.41,91.4,4 rides
Malokiat,Benguet State University - La Trinidad,70.71,99.6,4 rides
Malokiat,Philippine Military Academy,71.39,99.9,4 rides
Malokiat,Polytechnic University of the Philippines - Manila,205.48,171.7,5 rides
Malokiat,University of the Philippines - Diliman,204.96,171.8,5 rides
Malokiat,University of the Philippines - Manila,206.58,175.4,5 rides
Malokiat,Maritime Academy of Asia and the Pacific,219.24,185.5,4 rides
Manaol,University of Eastern Pangasinan,12.76,16.3,2 rides
Manaol,Pangasinan State University - Urdaneta City,19.77,21.5,2 rides
Manaol,Urdaneta City University,22.13,24.1,3 rides
Manaol,Pangasinan State University - Asingan,28.12,31.4,3 rides
Manaol,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,29.96,35.5,2 rides
Manaol,University of Pangasinan - PHINMA,24.98,39.3,3 rides
Manaol,Pangasinan Merchant Marine Academy,25.58,40.7,3 rides
Manaol,Lyceum-Northwestern University,26.91,43.5,3 rides
Manaol,DMMMSU – South La Union Campus  (SLUC) - Agoo,36.18,44.1,2 rides
Manaol,University of the Philippines - Baguio,46.11,57.3,3 rides
Manaol,Pangasinan State University - Bayambang,51.19,63.9,3 rides
Manaol,Pangasinan State University - Lingayen,41.94,65.5,4 rides
Manaol,Pangasinan Polytechnic College,42.2,65.7,4 rides
Manaol,Tarlac State University - Tarlac,83.37,71.7,2 rides
Manaol,UP Manila School of Health Sciences - Tarlac,84.63,73.4,-
Manaol,University of Cordilleras,63.75,84.2,3 rides
Manaol,Central Luzon State University,93.68,87.5,3 rides
Manaol,University of Baguio,64.74,87.8,3 rides
Manaol,DMMMSU – Mid La Union Campus (MLUC),67.96,88.2,2 rides
Manaol,Saint Louis University - Baguio,65.41,89.4,3 rides
Manaol,Benguet State University - La Trinidad,69.71,97.7,3 rides
Manaol,Philippine Military Academy,70.39,98.0,3 rides
Manaol,University of the Philippines - Diliman,203.96,169.8,4 rides
Manaol,Polytechnic University of the Philippines - Manila,204.47,169.8,4 rides
Manaol,University of the Philippines - Manila,205.58,173.5,4 rides
Manaol,Maritime Academy of Asia and the Pacific,218.24,183.5,3 rides
Nama,University of Eastern Pangasinan,12.1,15.5,2 rides
Nama,Pangasinan State University - Urdaneta City,21.28,20.2,2 rides
Nama,Urdaneta City University,23.64,22.8,3 rides
Nama,Pangasinan State University - Asingan,29.63,30.1,3 rides
Nama,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,28.61,33.5,2 rides
Nama,DMMMSU – South La Union Campus  (SLUC) - Agoo,34.84,42.1,2 rides
Nama,University of Pangasinan - PHINMA,28.05,44.0,3 rides
Nama,Pangasinan Merchant Marine Academy,28.66,45.4,3 rides
Nama,Lyceum-Northwestern University,29.98,48.2,3 rides
Nama,University of the Philippines - Baguio,44.76,55.3,3 rides
Nama,Pangasinan State University - Bayambang,52.7,62.6,3 rides
Nama,Tarlac State University - Tarlac,82.03,69.7,2 rides
Nama,Pangasinan State University - Lingayen,45.01,70.2,4 rides
Nama,Pangasinan Polytechnic College,45.27,70.5,4 rides
Nama,UP Manila School of Health Sciences - Tarlac,83.28,71.4,-
Nama,University of Cordilleras,62.41,82.3,3 rides
Nama,Central Luzon State University,92.34,85.5,3 rides
Nama,University of Baguio,63.4,85.8,3 rides
Nama,DMMMSU – Mid La Union Campus (MLUC),66.62,86.2,2 rides
Nama,Saint Louis University - Baguio,64.07,87.4,3 rides
Nama,Benguet State University - La Trinidad,68.37,95.7,3 rides
Nama,Philippine Military Academy,69.05,96.0,3 rides
Nama,Polytechnic University of the Philippines - Manila,203.13,167.8,4 rides
Nama,University of the Philippines - Diliman,202.61,167.9,4 rides
Nama,University of the Philippines - Manila,204.24,171.5,4 rides
Nama,Maritime Academy of Asia and the Pacific,216.9,181.5,3 rides
Nantangalan,University of Eastern Pangasinan,14.21,19.1,3 rides
Nantangalan,Pangasinan State University - Urdaneta City,20.24,23.0,3 rides
Nantangalan,Urdaneta City University,22.6,25.6,4 rides
Nantangalan,University of Pangasinan - PHINMA,18.58,30.4,4 rides
Nantangalan,Pangasinan Merchant Marine Academy,19.19,31.8,4 rides
Nantangalan,Pangasinan State University - Asingan,28.58,32.9,4 rides
Nantangalan,Lyceum-Northwestern University,20.51,34.6,4 rides
Nantangalan,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,35.14,44.9,3 rides
Nantangalan,DMMMSU – South La Union Campus  (SLUC) - Agoo,41.36,53.5,3 rides
Nantangalan,Pangasinan State University - Lingayen,35.54,56.6,5 rides
Nantangalan,Pangasinan Polytechnic College,35.8,56.8,5 rides
Nantangalan,Pangasinan State University - Bayambang,42.67,58.7,4 rides
Nantangalan,University of the Philippines - Baguio,51.28,66.7,4 rides
Nantangalan,Tarlac State University - Tarlac,80.79,73.8,3 rides
Nantangalan,UP Manila School of Health Sciences - Tarlac,82.05,75.5,-
Nantangalan,Central Luzon State University,91.11,89.6,4 rides
Nantangalan,University of Cordilleras,68.93,93.7,4 rides
Nantangalan,University of Baguio,69.92,97.2,4 rides
Nantangalan,DMMMSU – Mid La Union Campus (MLUC),73.14,97.6,3 rides
Nantangalan,Saint Louis University - Baguio,70.59,98.8,4 rides
Nantangalan,Benguet State University - La Trinidad,74.89,107.1,4 rides
Nantangalan,Philippine Military Academy,75.57,107.4,4 rides
Nantangalan,University of the Philippines - Diliman,201.38,171.9,5 rides
Nantangalan,Polytechnic University of the Philippines - Manila,201.9,171.9,5 rides
Nantangalan,University of the Philippines - Manila,203.01,175.6,5 rides
Nantangalan,Maritime Academy of Asia and the Pacific,215.67,185.6,4 rides
Palacpalac,University of Eastern Pangasinan,11.18,12.5,1 ride
Palacpalac,Pangasinan State University - Urdaneta City,19.86,17.7,1 ride
Palacpalac,Urdaneta City University,22.22,20.3,2 rides
Palacpalac,Pangasinan State University - Asingan,28.21,27.6,2 rides
Palacpalac,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,27.2,31.0,1 ride
Palacpalac,DMMMSU – South La Union Campus  (SLUC) - Agoo,33.42,39.6,1 ride
Palacpalac,University of Pangasinan - PHINMA,26.64,41.5,3 rides
Palacpalac,Pangasinan Merchant Marine Academy,27.24,42.9,3 rides
Palacpalac,Lyceum-Northwestern University,28.56,45.7,3 rides
Palacpalac,University of the Philippines - Baguio,43.35,52.8,2 rides
Palacpalac,Pangasinan State University - Bayambang,51.28,60.1,2 rides
Palacpalac,Tarlac State University - Tarlac,80.61,67.2,1 ride
Palacpalac,Pangasinan State University - Lingayen,43.59,67.7,4 rides
Palacpalac,Pangasinan Polytechnic College,43.85,68.0,4 rides
Palacpalac,UP Manila School of Health Sciences - Tarlac,81.87,68.9,-
Palacpalac,University of Cordilleras,60.99,79.8,2 rides
Palacpalac,Central Luzon State University,90.92,83.0,2 rides
Palacpalac,University of Baguio,61.98,83.3,2 rides
Palacpalac,DMMMSU – Mid La Union Campus (MLUC),65.2,83.7,1 ride
Palacpalac,Saint Louis University - Baguio,62.65,84.9,2 rides
Palacpalac,Benguet State University - La Trinidad,66.95,93.2,2 rides
Palacpalac,Philippine Military Academy,67.63,93.5,2 rides
Palacpalac,Polytechnic University of the Philippines - Manila,201.72,165.3,3 rides
Palacpalac,University of the Philippines - Diliman,201.2,165.4,3 rides
Palacpalac,University of the Philippines - Manila,202.82,169.0,3 rides
Palacpalac,Maritime Academy of Asia and the Pacific,215.48,179.0,2 rides
Palguyod,University of Eastern Pangasinan,12.95,15.0,2 rides
Palguyod,Pangasinan State University - Urdaneta City,20.86,19.6,2 rides
Palguyod,Urdaneta City University,23.22,22.2,3 rides
Palguyod,Pangasinan State University - Asingan,29.21,29.5,3 rides
Palguyod,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,28.2,32.9,2 rides
Palguyod,University of Pangasinan - PHINMA,24.87,39.1,3 rides
Palguyod,Pangasinan Merchant Marine Academy,25.48,40.5,3 rides
Palguyod,DMMMSU – South La Union Campus  (SLUC) - Agoo,34.42,41.5,2 rides
Palguyod,Lyceum-Northwestern University,26.8,43.3,3 rides
Palguyod,University of the Philippines - Baguio,44.35,54.7,3 rides
Palguyod,Pangasinan State University - Bayambang,52.28,62.0,3 rides
Palguyod,Pangasinan State University - Lingayen,41.83,65.3,4 rides
Palguyod,Pangasinan Polytechnic College,42.09,65.5,4 rides
Palguyod,Tarlac State University - Tarlac,81.61,69.2,2 rides
Palguyod,UP Manila School of Health Sciences - Tarlac,82.87,70.8,-
Palguyod,University of Cordilleras,62.0,81.7,3 rides
Palguyod,Central Luzon State University,91.92,84.9,3 rides
Palguyod,University of Baguio,62.98,85.2,3 rides
Palguyod,DMMMSU – Mid La Union Campus (MLUC),66.2,85.7,2 rides
Palguyod,Saint Louis University - Baguio,63.65,86.9,3 rides
Palguyod,Benguet State University - La Trinidad,67.95,95.1,3 rides
Palguyod,Philippine Military Academy,68.63,95.4,3 rides
Palguyod,Polytechnic University of the Philippines - Manila,202.72,167.2,4 rides
Palguyod,University of the Philippines - Diliman,202.2,167.3,4 rides
Palguyod,University of the Philippines - Manila,203.82,170.9,4 rides
Palguyod,Maritime Academy of Asia and the Pacific,216.48,180.9,3 rides
Poblacion I,University of Eastern Pangasinan,9.83,11.4,1 ride
Poblacion I,Pangasinan State University - Urdaneta City,16.84,16.6,1 ride
Poblacion I,Urdaneta City University,19.2,19.2,2 rides
Poblacion I,Pangasinan State University - Asingan,25.19,26.5,2 rides
Poblacion I,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,29.41,34.1,1 ride
Poblacion I,University of Pangasinan - PHINMA,24.63,41.6,2 rides
Poblacion I,DMMMSU – South La Union Campus  (SLUC) - Agoo,35.63,42.7,1 ride
Poblacion I,Pangasinan Merchant Marine Academy,25.23,43.0,2 rides
Poblacion I,Lyceum-Northwestern University,26.56,45.8,2 rides
Poblacion I,University of the Philippines - Baguio,45.56,55.9,2 rides
Poblacion I,Pangasinan State University - Bayambang,48.26,59.0,2 rides
Poblacion I,Pangasinan State University - Lingayen,41.59,67.8,3 rides
Poblacion I,Pangasinan Polytechnic College,41.85,68.0,3 rides
Poblacion I,Tarlac State University - Tarlac,79.07,69.0,1 ride
Poblacion I,UP Manila School of Health Sciences - Tarlac,80.33,70.7,-
Poblacion I,University of Cordilleras,63.2,82.9,2 rides
Poblacion I,Central Luzon State University,89.38,84.8,2 rides
Poblacion I,University of Baguio,64.19,86.5,2 rides
Poblacion I,DMMMSU – Mid La Union Campus (MLUC),67.41,86.9,1 ride
Poblacion I,Saint Louis University - Baguio,64.86,88.1,2 rides
Poblacion I,Benguet State University - La Trinidad,69.16,96.3,2 rides
Poblacion I,Philippine Military Academy,69.84,96.6,2 rides
Poblacion I,Polytechnic University of the Philippines - Manila,200.18,167.0,3 rides
Poblacion I,University of the Philippines - Diliman,199.66,167.1,3 rides
Poblacion I,University of the Philippines - Manila,201.29,170.8,3 rides
Poblacion I,Maritime Academy of Asia and the Pacific,213.94,180.8,2 rides
Poblacion II,University of Eastern Pangasinan,9.79,11.7,2 rides
Poblacion II,Pangasinan State University - Urdaneta City,16.8,16.9,2 rides
Poblacion II,Urdaneta City University,19.16,19.5,3 rides
Poblacion II,Pangasinan State University - Asingan,25.15,26.8,3 rides
Poblacion II,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,29.73,34.7,2 rides
Poblacion II,University of Pangasinan - PHINMA,24.25,41.0,2 rides
Poblacion II,Pangasinan Merchant Marine Academy,24.85,42.3,2 rides
Poblacion II,DMMMSU – South La Union Campus  (SLUC) - Agoo,35.95,43.3,2 rides
Poblacion II,Lyceum-Northwestern University,26.17,45.2,2 rides
Poblacion II,University of the Philippines - Baguio,45.88,56.5,3 rides
Poblacion II,Pangasinan State University - Bayambang,48.22,59.3,3 rides
Poblacion II,Pangasinan State University - Lingayen,41.2,67.2,3 rides
Poblacion II,Pangasinan Polytechnic College,41.46,67.4,3 rides
Poblacion II,Tarlac State University - Tarlac,79.04,69.3,2 rides
Poblacion II,UP Manila School of Health Sciences - Tarlac,80.29,71.0,-
Poblacion II,University of Cordilleras,63.53,83.5,3 rides
Poblacion II,Central Luzon State University,89.35,85.1,3 rides
Poblacion II,University of Baguio,64.51,87.0,3 rides
Poblacion II,DMMMSU – Mid La Union Campus (MLUC),67.74,87.5,2 rides
Poblacion II,Saint Louis University - Baguio,65.18,88.7,3 rides
Poblacion II,Benguet State University - La Trinidad,69.48,96.9,3 rides
Poblacion II,Philippine Military Academy,70.16,97.2,3 rides
Poblacion II,Polytechnic University of the Philippines - Manila,200.14,167.3,4 rides
Poblacion II,University of the Philippines - Diliman,199.62,167.4,4 rides
Poblacion II,University of the Philippines - Manila,201.25,171.1,4 rides
Poblacion II,Maritime Academy of Asia and the Pacific,213.91,181.1,3 rides
Poblacion III,University of Eastern Pangasinan,9.56,10.8,1 ride
Poblacion III,Pangasinan State University - Urdaneta City,16.57,16.0,1 ride
Poblacion III,Urdaneta City University,18.93,18.6,2 rides
Poblacion III,Pangasinan State University - Asingan,24.91,25.9,2 rides
Poblacion III,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,29.45,33.8,1 ride
Poblacion III,University of Pangasinan - PHINMA,24.63,41.5,3 rides
Poblacion III,DMMMSU – South La Union Campus  (SLUC) - Agoo,35.67,42.4,1 ride
Poblacion III,Pangasinan Merchant Marine Academy,25.23,42.9,3 rides
Poblacion III,Lyceum-Northwestern University,26.56,45.7,3 rides
Poblacion III,University of the Philippines - Baguio,45.6,55.6,2 rides
Poblacion III,Pangasinan State University - Bayambang,47.99,58.4,2 rides
Poblacion III,Pangasinan State University - Lingayen,41.58,67.7,4 rides
Poblacion III,Pangasinan Polytechnic College,41.84,68.0,4 rides
Poblacion III,Tarlac State University - Tarlac,78.8,68.4,1 ride
Poblacion III,UP Manila School of Health Sciences - Tarlac,80.06,70.1,-
Poblacion III,University of Cordilleras,63.25,82.6,2 rides
Poblacion III,Central Luzon State University,89.11,84.2,2 rides
Poblacion III,University of Baguio,64.23,86.1,2 rides
Poblacion III,DMMMSU – Mid La Union Campus (MLUC),67.46,86.5,1 ride
Poblacion III,Saint Louis University - Baguio,64.9,87.7,2 rides
Poblacion III,Benguet State University - La Trinidad,69.2,96.0,2 rides
Poblacion III,Philippine Military Academy,69.88,96.3,2 rides
Poblacion III,Polytechnic University of the Philippines - Manila,199.91,166.4,3 rides
Poblacion III,University of the Philippines - Diliman,199.39,166.5,3 rides
Poblacion III,University of the Philippines - Manila,201.01,170.2,3 rides
Poblacion III,Maritime Academy of Asia and the Pacific,213.67,180.2,2 rides
Poblacion IV,University of Eastern Pangasinan,9.41,11.1,2 rides
Poblacion IV,Pangasinan State University - Urdaneta City,16.42,16.3,2 rides
Poblacion IV,Urdaneta City University,18.78,18.9,3 rides
Poblacion IV,Pangasinan State University - Asingan,24.76,26.2,3 rides
Poblacion IV,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,29.74,34.3,2 rides
Poblacion IV,University of Pangasinan - PHINMA,24.33,41.1,3 rides
Poblacion IV,Pangasinan Merchant Marine Academy,24.94,42.4,3 rides
Poblacion IV,DMMMSU – South La Union Campus  (SLUC) - Agoo,35.97,42.9,2 rides
Poblacion IV,Lyceum-Northwestern University,26.26,45.2,3 rides
Poblacion IV,University of the Philippines - Baguio,45.89,56.1,3 rides
Poblacion IV,Pangasinan State University - Bayambang,47.84,58.7,3 rides
Poblacion IV,Pangasinan State University - Lingayen,41.29,67.2,4 rides
Poblacion IV,Pangasinan Polytechnic College,41.55,67.5,4 rides
Poblacion IV,Tarlac State University - Tarlac,78.65,68.7,2 rides
Poblacion IV,UP Manila School of Health Sciences - Tarlac,79.91,70.4,-
Poblacion IV,University of Cordilleras,63.54,83.1,3 rides
Poblacion IV,Central Luzon State University,88.96,84.5,3 rides
Poblacion IV,University of Baguio,64.53,86.6,3 rides
Poblacion IV,DMMMSU – Mid La Union Campus (MLUC),67.75,87.1,2 rides
Poblacion IV,Saint Louis University - Baguio,65.2,88.3,3 rides
Poblacion IV,Benguet State University - La Trinidad,69.5,96.5,3 rides
Poblacion IV,Philippine Military Academy,70.17,96.8,3 rides
Poblacion IV,Polytechnic University of the Philippines - Manila,199.76,166.8,4 rides
Poblacion IV,University of the Philippines - Diliman,199.24,166.9,4 rides
Poblacion IV,University of the Philippines - Manila,200.86,170.5,4 rides
Poblacion IV,Maritime Academy of Asia and the Pacific,213.52,180.5,3 rides
Rosario,University of Eastern Pangasinan,5.71,6.0,1 ride
Rosario,Pangasinan State University - Urdaneta City,12.72,11.2,1 ride
Rosario,Urdaneta City University,15.08,13.8,2 rides
Rosario,Pangasinan State University - Asingan,21.06,21.1,2 rides
Rosario,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,32.68,37.5,1 ride
Rosario,Pangasinan Merchant Marine Academy,41.68,43.1,3 rides
Rosario,University of Pangasinan - PHINMA,41.81,43.2,3 rides
Rosario,Lyceum-Northwestern University,43.58,45.8,3 rides
Rosario,DMMMSU – South La Union Campus  (SLUC) - Agoo,38.9,46.1,1 ride
Rosario,Pangasinan State University - Bayambang,44.14,53.6,2 rides
Rosario,University of the Philippines - Baguio,48.82,59.4,2 rides
Rosario,Tarlac State University - Tarlac,74.95,63.6,1 ride
Rosario,Pangasinan State University - Lingayen,55.49,64.2,4 rides
Rosario,Pangasinan Polytechnic College,55.75,64.5,4 rides
Rosario,UP Manila School of Health Sciences - Tarlac,76.21,65.3,-
Rosario,Central Luzon State University,85.26,79.4,2 rides
Rosario,University of Cordilleras,66.47,86.3,2 rides
Rosario,University of Baguio,67.46,89.9,2 rides
Rosario,DMMMSU – Mid La Union Campus (MLUC),70.68,90.3,1 ride
Rosario,Saint Louis University - Baguio,68.13,91.5,2 rides
Rosario,Benguet State University - La Trinidad,72.43,99.7,2 rides
Rosario,Philippine Military Academy,73.11,100.0,2 rides
Rosario,University of the Philippines - Diliman,195.54,161.7,3 rides
Rosario,Polytechnic University of the Philippines - Manila,196.06,161.7,3 rides
Rosario,University of the Philippines - Manila,197.16,165.4,3 rides
Rosario,Maritime Academy of Asia and the Pacific,209.82,175.4,2 rides
Sugcong,University of Eastern Pangasinan,12.86,16.7,2 rides
Sugcong,Pangasinan State University - Urdaneta City,19.86,22.0,2 rides
Sugcong,Urdaneta City University,22.23,24.6,3 rides
Sugcong,Pangasinan State University - Asingan,28.21,31.9,3 rides
Sugcong,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,27.98,34.6,2 rides
Sugcong,DMMMSU – South La Union Campus  (SLUC) - Agoo,34.2,43.3,2 rides
Sugcong,University of Pangasinan - PHINMA,30.74,49.1,3 rides
Sugcong,Pangasinan Merchant Marine Academy,31.34,50.5,3 rides
Sugcong,Lyceum-Northwestern University,32.67,53.3,3 rides
Sugcong,University of the Philippines - Baguio,44.13,56.5,3 rides
Sugcong,Pangasinan State University - Bayambang,51.29,64.4,3 rides
Sugcong,Tarlac State University - Tarlac,82.1,74.4,2 rides
Sugcong,Pangasinan State University - Lingayen,62.64,75.0,4 rides
Sugcong,Pangasinan Polytechnic College,62.9,75.2,4 rides
Sugcong,UP Manila School of Health Sciences - Tarlac,83.36,76.0,-
Sugcong,University of Cordilleras,62.01,84.6,3 rides
Sugcong,DMMMSU – Mid La Union Campus (MLUC),65.98,87.4,2 rides
Sugcong,University of Baguio,62.99,88.2,3 rides
Sugcong,Saint Louis University - Baguio,63.66,89.8,3 rides
Sugcong,Central Luzon State University,92.41,90.2,3 rides
Sugcong,Benguet State University - La Trinidad,67.96,98.1,3 rides
Sugcong,Philippine Military Academy,68.64,98.4,3 rides
Sugcong,Polytechnic University of the Philippines - Manila,203.21,172.4,4 rides
Sugcong,University of the Philippines - Diliman,202.69,172.5,4 rides
Sugcong,University of the Philippines - Manila,204.31,176.1,4 rides
Sugcong,Maritime Academy of Asia and the Pacific,216.97,186.1,3 rides
Talogtog,University of Eastern Pangasinan,10.74,13.5,2 rides
Talogtog,Pangasinan State University - Urdaneta City,17.75,18.8,2 rides
Talogtog,Urdaneta City University,20.11,21.4,3 rides
Talogtog,Pangasinan State University - Asingan,26.1,28.6,3 rides
Talogtog,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,30.71,36.5,2 rides
Talogtog,University of Pangasinan - PHINMA,23.0,38.6,2 rides
Talogtog,Pangasinan Merchant Marine Academy,23.6,40.0,2 rides
Talogtog,Lyceum-Northwestern University,24.93,42.8,2 rides
Talogtog,DMMMSU – South La Union Campus  (SLUC) - Agoo,36.93,45.2,2 rides
Talogtog,University of the Philippines - Baguio,46.86,58.4,3 rides
Talogtog,Pangasinan State University - Bayambang,49.17,61.1,3 rides
Talogtog,Pangasinan State University - Lingayen,39.95,64.8,3 rides
Talogtog,Pangasinan Polytechnic College,40.21,65.0,3 rides
Talogtog,Tarlac State University - Tarlac,79.99,71.2,2 rides
